Gene ID,Res_ss_1,Res_ss_2,Res_ss_3,ift_pH_1,ift_pH_2,ift_pH_3,ift_ss_1,ift_ss_2,ift_ss_3
Cre01.g000050_4532,0.41,0.51,0.15,0.3,0.55,0.77,2.69,1.04,1.54
Cre01.g000100_4532,0.85,0.95,0.69,0.48,0.14,0.4,1.97,3.06,1.64
Cre01.g000150_4532,6.27,7.06,1.71,66.07,0.35,0.57,87.33,1.96,8.15
Cre01.g000200_4532,0.25,0.22,0.16,1.53,1.09,1.78,3.7,1.3,1.82
Cre01.g000250_4532,5.87,6.14,6.05,9.14,4.64,5.89,7.11,5.55,5.4
Cre01.g000300_4532,2.58,3.7,2.57,35.99,16.37,18.58,5.57,1.89,4.51
Cre01.g000350_4532,63.29,53.76,142.54,126.51,57.74,72.15,102.94,74.88,102.12
Cre01.g000400_4532,0.6,0.95,0.22,1.81,3.5,4.08,3.56,3.15,4.8
Cre01.g000450_4532,3.3,3.74,1.37,6.96,8.02,6.78,5.46,5.97,6.94
Cre01.g000500_4532,3.22,3.74,2.06,2.04,0.64,1.15,3.62,1.32,2.2
Cre01.g000550_4532,0,0.04,0,0.18,0.16,0.09,0.32,0.13,0.24
Cre01.g000600_4532,1.23,1.07,0.55,1.61,1.8,2.08,6.11,0.19,1.25
Cre01.g000650_4532,0.12,0.45,0.06,2.07,0.39,0.56,0.28,2.92,2.57
Cre01.g000700_4532,0.54,0.47,0.36,0.8,0.44,0.5,1.25,0.84,1.4
Cre01.g000750_4532,0.93,1.47,0.66,4.63,4.74,4.73,3.49,1.74,2.86
Cre01.g000800_4532,4.68,4.21,3.67,3.99,1.88,2.77,5.67,4.09,6.71
Cre01.g000850_4532,29.46,27.45,28.11,42.72,18.62,25.69,59.06,15.28,27.85
Cre01.g000900_4532,9.47,11.84,19.92,12.5,11.09,12.06,16.74,13.77,16.18
Cre01.g000950_4532,0,0,0,0.29,0.07,0.02,0.17,0.21,0.31
Cre01.g001000_4532,0,0,0,0.11,0.08,0.05,0.08,0.08,0.08
Cre01.g001100_4532,7.34,8.99,9.34,24.49,68.12,65.72,29.88,27.14,30.59
Cre01.g001150_4532,0.49,0.73,0.82,0.8,0.51,0.86,1.45,2.06,1.5
Cre01.g001200_4532,9.59,12.91,4.77,13.06,14.39,9.17,1.53,1.83,4.15
Cre01.g001250_4532,0.36,0.3,1.14,0.07,0,0.05,0.05,0.07,0.04
Cre01.g001300_4532,0.06,0.13,0.13,0.04,0.01,0.01,0.06,0.04,0.05
Cre01.g001350_4532,0.12,0.15,0.28,0.21,0.19,0.27,0.63,0.9,0.83
Cre01.g001400_4532,0.08,0.11,0.1,24.23,19.52,19.06,4.46,4.4,4.88
Cre01.g001450_4532,0.19,0.22,0.13,1.59,0.7,0.72,2.69,0.42,1.34
Cre01.g001501_4532,0.09,0.08,0.05,0.23,0,0.07,0.99,0.05,0.19
Cre01.g001550_4532,8.2,7.7,5.4,35.06,16.5,15,40.64,7.92,14.95
Cre01.g001600_4532,1.79,2.08,2.41,2.29,2.4,2.93,0.79,5.67,5.7
Cre01.g001650_4532,0.08,0.13,0.08,0.67,0.28,0.32,0.87,0.21,0.43
Cre01.g001657_4532,0.25,0.49,0.22,2.68,2.55,1.95,1.99,0.94,1.33
Cre01.g001664_4532,0.23,0.15,1.03,0.73,0.66,0.81,1.43,1.44,1.34
Cre01.g001678_4532,0.31,0.39,1.78,0.62,0.24,0.58,0.67,2.02,0.81
Cre01.g001700_4532,0.39,0.43,2.68,0.86,0.16,0.66,0.87,2.24,0.91
Cre01.g001750_4532,9.89,8.08,4.25,13.69,5.35,8.27,65.28,1.84,6.1
Cre01.g001800_4532,0.59,0.68,0.68,3.63,2.08,3.73,5.21,2.32,2.52
Cre01.g001950_4532,2.4,2.37,1.35,12.81,11.07,9.58,5.43,2.15,4.25
Cre01.g001983_4532,31.12,34.36,51.12,316.67,271.77,259.86,47.13,38.39,68.55
Cre01.g002050_4532,1.71,1.52,2.26,14.32,10.26,9.67,1.02,1.63,2.28
Cre01.g002100_4532,1.36,1.84,0.75,7.22,13.29,10.42,2.84,2.23,3.59
Cre01.g002150_4532,0.05,0.07,0,0.34,0.35,0.2,0.36,0.21,0.14
Cre01.g002200_4532,0,0,0.98,0,0,0,0,0,0
Cre01.g002201_4532,0.02,0.05,0.02,0.02,0,0.03,0.6,0.14,0.14
Cre01.g002227_4532,1.64,1.64,1.18,1.37,0.91,1.59,3.03,1.27,1.44
Cre01.g002250_4532,0.35,0.47,1.49,0.95,0.14,0.3,3.7,2.34,1.95
Cre01.g002300_4532,172.41,152.15,223.68,603.39,1920.81,1315.37,451.64,435.11,519.32
Cre01.g002350_4532,1.8,1.84,2.31,2.99,9.36,6.3,3.12,4.84,5.85
Cre01.g002400_4532,1.49,1.14,5.43,1.87,1.28,1.38,1.12,3.14,2.65
Cre01.g002500_4532,84.14,51.26,330.58,22.74,10.2,26.68,45.11,98.78,58.69
Cre01.g002550_4532,0.4,0.82,1.33,0.61,0.37,0.81,1.44,1.53,0.88
